Year,Position,Song Title,Artist,Loudness
1950,1,Tie A Yellow Ribbon Round The Ole Oak Tree,Tony Orlando and Dawn,-8.801
1950,2,Bad Bad Leroy Brown,Jim Croce,-7.461
1950,3,Killing Me Softly With His Song,Roberta Flack,-10.237
1950,4,Let's Get It On,Marvin Gaye,-10.629
1950,5,My Love,Paul McCartney and Wings,-20.666
1950,6,Why Me,Kris Kristofferson,-13.184
1950,7,Crocodile Rock,Elton John,-7.214
1950,8,Will It Go Round In Circles,Billy Preston,-7.928
1950,9,You're So Vain,Carly Simon,-8.18
1950,10,Touch Me In The Morning,Diana Ross,-8.676
1950,11,The Night The Lights Went Out In Georgia,Vicki Lawrence,-13.446
1950,12,Playground In My Mind,Clint Holmes,-7.4
1950,13,Brother Louie,Stories,-9.147
1950,14,Delta Dawn,Helen Reddy,-11.976
1950,15,Me And Mrs. Jones,Billy Paul,-9.259
1950,16,Frankenstein,Edgar Winter Group,-12.127
1950,17,Drift Away,Dobie Gray,-7.662
1950,18,Little Willy,Sweet,-7.135
1950,19,You Are The Sunshine Of My Life,Stevie Wonder,-14.53
1950,20,Half Breed,Cher,-12.624
1950,21,That Lady,Isley Bros.,
1950,22,Pillow Talk,Sylvia,-10.666
1950,23,We're An American Band,Grand Funk Railroad,-4.872
1950,24,"Right Place, Wrong Time",Dr. John,-13.702
1950,25,Wildflower,Skylark,-13.431
1950,26,Superstition,Stevie Wonder,-8.582
1950,27,Loves Me Like A Rock,Paul Simon,-10.42
1950,28,The Morning After,Maureen McGovern,-7.225
1950,29,Rocky Mountain High,John Denver,-11.411
1950,30,Stuck In The Middle With You,Stealers Wheel,-10.437
1951,1,Shambala,Three Dog Night,-15.339
1951,2,Love Train,O'Jays,-9.629
1951,3,I'm Gonna Love You Just A Little More,Barry White,-9.895
1951,4,"Say, Has Anybody Seen My Sweet Gypsy Rose",Tony Orlando and Dawn,-14.521
1951,5,Keep On Truckin' (Pt. 1),Eddie Kendricks,-12.035
1951,6,Dancing In The Moonlight,King Harvest,-15.707
1951,7,Danny's Song,Anne Murray,-12.251
1951,8,Monster Mash,"Bobby ""Boris"" Pickett and The Crypt Kickers",-14.195
1951,9,Natural High,Bloodstone,-9.884
1951,10,Diamond Girl,Seals and Crofts,-12.012
1951,11,Long Train Running,Doobie Brothers,-9.335
1951,12,Give Me Love (Give Me Peace On Earth),George Harrison,-11.531
1951,13,If You Want Me To Stay,Sly and The Family Stone,-11.574
1951,14,Daddy's Home,Jermaine Jackson,-8.39
1951,15,Neither One Of Us (Wants To Be The First To Say Goodbye),Gladys Knight and The Pips,-12.724
1951,16,I'm Doing Fine Now,New York City,
1951,17,Could It Be I'm Falling In Love,Spinners,-6.677
1951,18,Daniel,Elton John,-11.861
1951,19,Midnight Train To Georgia,Gladys Knight and The Pips,-8.432
1951,20,Smoke On The Water,Deep Purple,-11.333
1951,21,The Cover Of Rolling Stone,Dr. Hook and The Medicine Show,-13.103
1951,22,Behind Closed Doors,Charlie Rich,-11.196
1951,23,Your Mama Don't Dance,Loggins and Messina,-12.671
1951,24,Feelin' Stronger Every Day,Chicago,-12.142
1951,25,The Cisco Kid,War,-7.164
1951,26,Live And Let Die,Wings,-9.942
1951,27,"Oh, Babe, What Would You Say?",Hurricane Smith,-12.985
1951,28,I Believe In You,Johnnie Taylor,-10.087
1951,29,Sing,Carpenters,-16.574
1951,30,Ain't No Woman (Like The One I Got),Four Tops,-15.255
1952,1,Dueling Banjos,Eric Weissberg and Steve Mandel,
1952,2,Higher Ground,Stevie Wonder,-9.949
1952,3,Here I Am (Come And Take Me),Al Green,-12.238
1952,4,My Maria,B.W. Stevenson,-7.452
1952,5,Superfly,Curtis Mayfield,-9.141
1952,6,Get Down,Gilbert O'Sullivan,-6.564
1952,7,Last Song,Edward Bear,-13.739
1952,8,Reelin' In The Years,Steely Dan,-9.81
1952,9,Hocus Pocus,Focus,-5.538
